"Hook management","钩子管理"
"On this page you can view and edit the hooks of the repository.","在本页面，您可以查看并编辑该仓库的钩子。"
"Hook name","钩子名称"
"Hook content","钩子内容"
"Save hook","保存钩子"
"Existing hooks","已有钩子"
"Size","大小"
"Options","操作"
"Edit","编辑"
"Custom","自定义"
"The hook %0 has been saved successfully.","钩子 %0 保存成功。"
"View","查看"
"This is a Subversion hook template and cannot be edited.","这是 Subversion 钩子模板，不可编辑。"
"Subversion hook templates are read-only.","Subversion 钩子模板为只读。"
"Invalid hook name.","无效的钩子名称。"
"Could not create hooks directory.","无法创建 hooks 目录。"
"Could not write hook file.","无法写入钩子文件。"
