"Create repository","저장소 생성"
"Create a new repository to manage your sources.","형상 관리를 위한 새 저장소를 생성합니다."
"New repository data","새 저장소 데이터"
"Repository name","저장소 이름"
"Type","유형"
"File System (Recommended)","파일 시스템(권장)"
"Berkly DB","버클리 DB"
"Valid signs for repository name are","저장소 이름에 유효한 기호는"
"Underscore","밑줄"
"Hyphen","하이픈"
"No space!","공백 불가!"
"Create trunk,branch,tag","트렁크, 브랜치, 태그 생성"
"Set project manager","프로젝트 관리자 설정"
"Set project manager read &amp; write permissions","프로젝트 관리자의 읽기 &amp; 쓰기 권한 설정"
"Allow project manager read &amp; write permissions","프로젝트 관리자의 읽기 &amp; 쓰기 권한 부여"
